t_opti,x_opti,y_opti,z_opti,qx_opti,qy_opti,qz_opti,qw_opti
2.35,0.148019,-0.80271,-0.222876,-0.509192,0.099602,0.008738,-0.854826
2.358333,0.148097,-0.802614,-0.223367,-0.510226,0.099549,0.008583,-0.854216
2.366667,0.148136,-0.802548,-0.223866,-0.511198,0.099482,0.008494,-0.853644
2.375,0.148227,-0.802464,-0.224326,-0.512351,0.099552,0.008253,-0.852947
2.383333,0.148267,-0.802398,-0.224776,-0.513347,0.099499,0.008104,-0.852355
2.391667,0.148345,-0.802311,-0.225192,-0.514297,0.099533,0.007985,-0.851779
2.4,0.148412,-0.802239,-0.225554,-0.515308,0.09962,0.007765,-0.85116
2.408333,0.148483,-0.802159,-0.225914,-0.51592,0.099647,0.00767,-0.850787
2.416667,0.148548,-0.802089,-0.226199,-0.516756,0.099771,0.007472,-0.850267
2.425,0.148592,-0.802028,-0.226473,-0.517201,0.09967,0.007376,-0.850009
2.433333,0.148661,-0.801965,-0.226742,-0.517712,0.099599,0.007191,-0.849707
2.441667,0.148723,-0.801926,-0.226955,-0.518323,0.099685,0.007037,-0.849326
2.45,0.14878,-0.801908,-0.227154,-0.518668,0.09971,0.006935,-0.849113
2.458333,0.148839,-0.801888,-0.227335,-0.51909,0.099693,0.006847,-0.848858
2.466667,0.148885,-0.801872,-0.2275,-0.519489,0.099637,0.006668,-0.848622
2.475,0.148928,-0.801853,-0.22765,-0.519591,0.099643,0.006558,-0.84856
2.483333,0.148963,-0.801835,-0.227735,-0.51985,0.099807,0.006444,-0.848383
2.491667,0.148969,-0.801821,-0.2278,-0.519931,0.099902,0.006406,-0.848322
2.5,0.148985,-0.801802,-0.227833,-0.519881,0.099971,0.006317,-0.848345
2.508333,0.148977,-0.801794,-0.227857,-0.519836,0.100088,0.006311,-0.848359
2.516667,0.148967,-0.80178,-0.227858,-0.519692,0.100175,0.006296,-0.848437
2.525,0.148955,-0.801772,-0.227848,-0.519546,0.100284,0.006305,-0.848514
2.533333,0.148941,-0.801765,-0.227817,-0.519379,0.100402,0.006282,-0.848602
2.541667,0.148928,-0.801754,-0.227769,-0.519203,0.100555,0.006249,-0.848692
2.55,0.148914,-0.801749,-0.2277,-0.518964,0.100697,0.006212,-0.848821
2.558333,0.14892,-0.801734,-0.227597,-0.518649,0.100858,0.006108,-0.848996
2.566667,0.148895,-0.801738,-0.227478,-0.518136,0.101033,0.006134,-0.849288
2.575,0.148863,-0.80174,-0.227301,-0.517783,0.101252,0.006037,-0.849478
2.583333,0.148846,-0.801742,-0.227121,-0.517393,0.101554,0.005949,-0.84968
2.591667,0.148809,-0.801756,-0.226934,-0.516898,0.101729,0.00589,-0.849961
2.6,0.148772,-0.801788,-0.226709,-0.516374,0.102062,0.005812,-0.85024
2.608333,0.148703,-0.801835,-0.226454,-0.515637,0.102347,0.005851,-0.850652
2.616667,0.148631,-0.801861,-0.226168,-0.515106,0.102508,0.005685,-0.850956
2.625,0.148568,-0.80191,-0.225838,-0.514438,0.10287,0.005618,-0.851317
